model_name,display_name,seed_a,seed_b,spearman_rank_correlation,top_k,top_k_overlap_count,top_k_overlap_rate,top_k_jaccard
logistic_regression,Logistic Regression,4,5,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,4,6,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,4,7,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,4,8,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,4,9,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,4,10,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,5,6,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,5,7,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,5,8,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,5,9,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,5,10,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,6,7,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,6,8,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,6,9,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,6,10,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,7,8,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,7,9,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,7,10,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,8,9,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,8,10,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,9,10,1.0,10,10,1.0,1.0
mlp,MLP,1,2,0.8647058823529412,10,8,0.8,0.6666666666666666
mlp,MLP,1,3,0.8176470588235294,10,7,0.7,0.5384615384615384
mlp,MLP,1,4,0.8852941176470588,10,8,0.8,0.6666666666666666
mlp,MLP,1,5,0.8352941176470589,10,7,0.7,0.5384615384615384
mlp,MLP,1,6,0.888235294117647,10,8,0.8,0.6666666666666666
mlp,MLP,1,7,0.8558823529411764,10,8,0.8,0.6666666666666666
mlp,MLP,1,8,0.6205882352941177,10,7,0.7,0.5384615384615384
mlp,MLP,1,9,0.8382352941176471,10,8,0.8,0.6666666666666666
mlp,MLP,1,10,0.8735294117647058,10,8,0.8,0.6666666666666666
mlp,MLP,2,3,0.8823529411764707,10,9,0.9,0.8181818181818182
mlp,MLP,2,4,0.7941176470588236,10,8,0.8,0.6666666666666666
mlp,MLP,2,5,0.8441176470588234,10,9,0.9,0.8181818181818182
mlp,MLP,2,6,0.7970588235294117,10,8,0.8,0.6666666666666666
mlp,MLP,2,7,0.9264705882352942,10,9,0.9,0.8181818181818182
mlp,MLP,2,8,0.5617647058823529,10,7,0.7,0.5384615384615384
mlp,MLP,2,9,0.6676470588235294,10,8,0.8,0.6666666666666666
mlp,MLP,2,10,0.8852941176470588,10,9,0.9,0.8181818181818182
mlp,MLP,3,4,0.8558823529411764,10,9,0.9,0.8181818181818182
mlp,MLP,3,5,0.9294117647058824,10,10,1.0,1.0
mlp,MLP,3,6,0.7617647058823529,10,8,0.8,0.6666666666666666
mlp,MLP,3,7,0.9411764705882352,10,9,0.9,0.8181818181818182
mlp,MLP,3,8,0.7411764705882353,10,7,0.7,0.5384615384615384
mlp,MLP,3,9,0.7441176470588236,10,8,0.8,0.6666666666666666
mlp,MLP,3,10,0.9,10,9,0.9,0.8181818181818182
mlp,MLP,4,5,0.823529411764706,10,9,0.9,0.8181818181818182
mlp,MLP,4,6,0.8617647058823529,10,9,0.9,0.8181818181818182
mlp,MLP,4,7,0.8529411764705882,10,9,0.9,0.8181818181818182
mlp,MLP,4,8,0.7352941176470589,10,8,0.8,0.6666666666666666
mlp,MLP,4,9,0.9205882352941176,10,9,0.9,0.8181818181818182
mlp,MLP,4,10,0.8705882352941177,10,9,0.9,0.8181818181818182
mlp,MLP,5,6,0.8735294117647058,10,8,0.8,0.6666666666666666
mlp,MLP,5,7,0.9382352941176471,10,9,0.9,0.8181818181818182
mlp,MLP,5,8,0.6352941176470589,10,7,0.7,0.5384615384615384
mlp,MLP,5,9,0.6676470588235294,10,8,0.8,0.6666666666666666
mlp,MLP,5,10,0.9411764705882352,10,9,0.9,0.8181818181818182
mlp,MLP,6,7,0.8441176470588234,10,9,0.9,0.8181818181818182
mlp,MLP,6,8,0.5676470588235295,10,8,0.8,0.6666666666666666
mlp,MLP,6,9,0.7617647058823529,10,9,0.9,0.8181818181818182
mlp,MLP,6,10,0.9352941176470588,10,9,0.9,0.8181818181818182
mlp,MLP,7,8,0.6794117647058824,10,8,0.8,0.6666666666666666
mlp,MLP,7,9,0.7088235294117646,10,9,0.9,0.8181818181818182
mlp,MLP,7,10,0.9411764705882352,10,10,1.0,1.0
mlp,MLP,8,9,0.7970588235294117,10,9,0.9,0.8181818181818182
mlp,MLP,8,10,0.6529411764705881,10,8,0.8,0.6666666666666666
mlp,MLP,9,10,0.7176470588235294,10,9,0.9,0.8181818181818182
random_forest,Random Forest,1,2,0.9529411764705882,10,10,1.0,1.0
random_forest,Random Forest,1,3,0.9823529411764707,10,10,1.0,1.0
random_forest,Random Forest,1,4,0.9441176470588234,10,10,1.0,1.0
random_forest,Random Forest,1,5,0.9676470588235294,10,10,1.0,1.0
random_forest,Random Forest,1,6,0.9382352941176471,10,10,1.0,1.0
random_forest,Random Forest,1,7,0.961764705882353,10,10,1.0,1.0
random_forest,Random Forest,1,8,0.9441176470588234,10,10,1.0,1.0
random_forest,Random Forest,1,9,0.95,10,10,1.0,1.0
random_forest,Random Forest,1,10,0.9441176470588234,10,10,1.0,1.0
random_forest,Random Forest,2,3,0.95,10,10,1.0,1.0
random_forest,Random Forest,2,4,0.9382352941176471,10,10,1.0,1.0
random_forest,Random Forest,2,5,0.9676470588235294,10,10,1.0,1.0
random_forest,Random Forest,2,6,0.9794117647058824,10,10,1.0,1.0
random_forest,Random Forest,2,7,0.9323529411764706,10,10,1.0,1.0
random_forest,Random Forest,2,8,0.9735294117647059,10,10,1.0,1.0
random_forest,Random Forest,2,9,0.9705882352941176,10,10,1.0,1.0
random_forest,Random Forest,2,10,0.9588235294117649,10,10,1.0,1.0
random_forest,Random Forest,3,4,0.9323529411764706,10,10,1.0,1.0
random_forest,Random Forest,3,5,0.961764705882353,10,10,1.0,1.0
random_forest,Random Forest,3,6,0.9588235294117649,10,10,1.0,1.0
random_forest,Random Forest,3,7,0.95,10,10,1.0,1.0
random_forest,Random Forest,3,8,0.9529411764705882,10,10,1.0,1.0
random_forest,Random Forest,3,9,0.961764705882353,10,10,1.0,1.0
random_forest,Random Forest,3,10,0.961764705882353,10,10,1.0,1.0
random_forest,Random Forest,4,5,0.95,10,10,1.0,1.0
random_forest,Random Forest,4,6,0.9411764705882352,10,10,1.0,1.0
random_forest,Random Forest,4,7,0.976470588235294,10,10,1.0,1.0
random_forest,Random Forest,4,8,0.9205882352941176,10,10,1.0,1.0
random_forest,Random Forest,4,9,0.9176470588235294,10,10,1.0,1.0
random_forest,Random Forest,4,10,0.9205882352941176,10,10,1.0,1.0
random_forest,Random Forest,5,6,0.9588235294117649,10,10,1.0,1.0
random_forest,Random Forest,5,7,0.9352941176470588,10,10,1.0,1.0
random_forest,Random Forest,5,8,0.9470588235294116,10,10,1.0,1.0
random_forest,Random Forest,5,9,0.9411764705882352,10,10,1.0,1.0
random_forest,Random Forest,5,10,0.9705882352941176,10,10,1.0,1.0
random_forest,Random Forest,6,7,0.9411764705882352,10,10,1.0,1.0
random_forest,Random Forest,6,8,0.9852941176470588,10,10,1.0,1.0
random_forest,Random Forest,6,9,0.9735294117647059,10,10,1.0,1.0
random_forest,Random Forest,6,10,0.9705882352941176,10,10,1.0,1.0
random_forest,Random Forest,7,8,0.9382352941176471,10,10,1.0,1.0
random_forest,Random Forest,7,9,0.9352941176470588,10,10,1.0,1.0
random_forest,Random Forest,7,10,0.9205882352941176,10,10,1.0,1.0
random_forest,Random Forest,8,9,0.9735294117647059,10,10,1.0,1.0
random_forest,Random Forest,8,10,0.9735294117647059,10,10,1.0,1.0
random_forest,Random Forest,9,10,0.961764705882353,10,10,1.0,1.0
