model_name,display_name,input_type,explainer_type,feature,mean_abs_shap_mean,mean_abs_shap_std,mean_abs_shap_min,mean_abs_shap_max,rank_mean,rank_std,rank_min,rank_max,n_seeds,mean_rank_order
decision_tree,Decision Tree,unscaled,tree,MajorAxisLength,0.08324604282595396,0.0016950975046547776,0.08002862293808971,0.08557696956289221,1.0,0.0,1,1,10,1
decision_tree,Decision Tree,unscaled,tree,Perimeter,0.07657859909657579,0.0012109430466379603,0.07443075883421732,0.0778236347472338,2.0,0.0,2,2,10,2
decision_tree,Decision Tree,unscaled,tree,ShapeFactor1,0.038291023178691846,0.0054864510828495265,0.03389601265143375,0.04846750231972494,4.4,0.8432740427115678,3,5,10,3
decision_tree,Decision Tree,unscaled,tree,MinorAxisLength,0.03520251475637977,0.005896003485932422,0.023567170551451546,0.04058770566669178,4.8,1.5491933384829668,3,8,10,4
decision_tree,Decision Tree,unscaled,tree,Compactness,0.03494759506676303,0.01473592145359267,0.014371115435831203,0.055627644992259584,5.1,2.1317702607092643,3,8,10,5
decision_tree,Decision Tree,unscaled,tree,roundness,0.02842842257814105,0.00075474183744558,0.027406713087728435,0.02964717781133847,5.8,0.4216370213557842,5,6,10,6
decision_tree,Decision Tree,unscaled,tree,ShapeFactor3,0.0269041304593148,0.014102962983370255,0.0078110022051556035,0.044081472594057945,6.2,3.2249030993194197,3,11,10,7
decision_tree,Decision Tree,unscaled,tree,ShapeFactor4,0.023091608988549464,0.0010841277512913191,0.02170216798467136,0.02525593954481717,7.3,0.48304589153964794,7,8,10,8
decision_tree,Decision Tree,unscaled,tree,Solidity,0.01216915602039837,0.0005891033591606423,0.010895022540015677,0.01308906403497724,8.9,0.5676462121975467,8,10,10,9
decision_tree,Decision Tree,unscaled,tree,Extent,0.00978651219073362,0.0007270511781918835,0.009150617738686235,0.01152916702144908,10.1,0.8755950357709129,9,11,10,10
decision_tree,Decision Tree,unscaled,tree,ConvexArea,0.009135309349528529,0.0006580562223150833,0.00845344934786404,0.010293394395994877,10.9,0.9944289260117531,10,12,10,11
decision_tree,Decision Tree,unscaled,tree,EquivDiameter,0.007231112851912995,0.0025710964947932937,0.0033384238683186714,0.010573541353221501,12.7,1.636391694484477,11,16,10,12
decision_tree,Decision Tree,unscaled,tree,Area,0.006215524127882751,0.002495896010253769,0.002283484985762507,0.009863288771960743,13.2,1.9321835661585918,10,16,10,13
decision_tree,Decision Tree,unscaled,tree,ShapeFactor2,0.005517686673559186,0.0013188613218025863,0.0038207335237582496,0.007380096110939789,13.6,0.8432740427115679,13,15,10,14
decision_tree,Decision Tree,unscaled,tree,AspectRation,0.0036009009680259387,0.0016362744199939936,0.0009442927423975944,0.005827231120315507,14.9,1.1005049346146125,13,16,10,15
decision_tree,Decision Tree,unscaled,tree,Eccentricity,0.0031860731654663604,0.0017557002535006205,0.0011074061384321252,0.007489967170081667,15.1,0.8755950357709129,13,16,10,16
logistic_regression,Logistic Regression,scaled,linear,ShapeFactor1,1.4633874684320967,0.0,1.4633874684320967,1.4633874684320967,1.0,0.0,1,1,10,1
logistic_regression,Logistic Regression,scaled,linear,MinorAxisLength,1.0949494573326541,0.0,1.0949494573326541,1.0949494573326541,2.0,0.0,2,2,10,2
logistic_regression,Logistic Regression,scaled,linear,EquivDiameter,0.8929123307892353,0.0,0.8929123307892353,0.8929123307892353,3.0,0.0,3,3,10,3
logistic_regression,Logistic Regression,scaled,linear,Perimeter,0.8855546171005152,0.0,0.8855546171005151,0.8855546171005151,4.0,0.0,4,4,10,4
logistic_regression,Logistic Regression,scaled,linear,ConvexArea,0.7968408635671044,0.0,0.7968408635671044,0.7968408635671044,5.0,0.0,5,5,10,5
logistic_regression,Logistic Regression,scaled,linear,Area,0.778416899975541,0.0,0.778416899975541,0.778416899975541,6.0,0.0,6,6,10,6
logistic_regression,Logistic Regression,scaled,linear,MajorAxisLength,0.7749775645746454,0.0,0.7749775645746454,0.7749775645746454,7.0,0.0,7,7,10,7
logistic_regression,Logistic Regression,scaled,linear,ShapeFactor4,0.7337406165724177,0.0,0.7337406165724177,0.7337406165724177,8.0,0.0,8,8,10,8
logistic_regression,Logistic Regression,scaled,linear,ShapeFactor2,0.6102784055116628,0.0,0.6102784055116628,0.6102784055116628,9.0,0.0,9,9,10,9
logistic_regression,Logistic Regression,scaled,linear,roundness,0.35020454151037195,0.0,0.35020454151037195,0.35020454151037195,10.0,0.0,10,10,10,10
logistic_regression,Logistic Regression,scaled,linear,Solidity,0.2510332361699324,0.0,0.2510332361699324,0.2510332361699324,11.0,0.0,11,11,10,11
logistic_regression,Logistic Regression,scaled,linear,AspectRation,0.24056283444433008,0.0,0.24056283444433008,0.24056283444433008,12.0,0.0,12,12,10,12
logistic_regression,Logistic Regression,scaled,linear,Eccentricity,0.23954759187146052,0.0,0.2395475918714605,0.2395475918714605,13.0,0.0,13,13,10,13
logistic_regression,Logistic Regression,scaled,linear,Extent,0.18946891327445536,0.0,0.18946891327445536,0.18946891327445536,14.0,0.0,14,14,10,14
logistic_regression,Logistic Regression,scaled,linear,ShapeFactor3,0.15512467876896815,0.0,0.15512467876896815,0.15512467876896815,15.0,0.0,15,15,10,15
logistic_regression,Logistic Regression,scaled,linear,Compactness,0.15127427482766603,0.0,0.15127427482766603,0.15127427482766603,16.0,0.0,16,16,10,16
mlp,MLP,scaled,kernel,ShapeFactor1,0.043212768269587136,0.007780887813084354,0.034354081529405854,0.06059475439391031,1.1,0.31622776601683794,1,2,10,1
mlp,MLP,scaled,kernel,ShapeFactor4,0.029194032233051448,0.0014666238683391144,0.02708670258754481,0.031442264553119964,3.2,1.0327955589886444,2,5,10,2
mlp,MLP,scaled,kernel,AspectRation,0.02959385820927169,0.005539859099535825,0.02123313494181539,0.039132297511140224,3.5,1.7795130420052185,1,7,10,3
mlp,MLP,scaled,kernel,roundness,0.02788384118090016,0.004495256373020657,0.01773217858820961,0.03269235895464385,4.1,2.7264140062238043,2,11,10,4
mlp,MLP,scaled,kernel,ShapeFactor2,0.023804803825515954,0.00456449953908096,0.017011505100143983,0.03118317923168367,5.3,1.8287822299126937,3,9,10,5
mlp,MLP,scaled,kernel,MajorAxisLength,0.022306216940876332,0.004938050642434652,0.01413613245190353,0.029113860407768064,7.1,2.960855732160327,4,13,10,6
mlp,MLP,scaled,kernel,MinorAxisLength,0.021003847144633388,0.003866472973985683,0.014812365668527571,0.027573117176371762,7.8,2.2010098692292237,5,12,10,7
mlp,MLP,scaled,kernel,Area,0.01913536906449567,0.0029398811425618465,0.013346550758055591,0.02406099269605169,8.8,2.5298221281347035,5,13,10,8
mlp,MLP,scaled,kernel,Perimeter,0.01830534075912466,0.0028486762105953832,0.013522651558553294,0.022483073847522086,8.9,1.8529256146249728,6,11,10,9
mlp,MLP,scaled,kernel,EquivDiameter,0.01837719062737786,0.0016400452859869031,0.016080954544473905,0.0207174326599051,9.0,1.8257418583505538,6,13,10,10
mlp,MLP,scaled,kernel,ConvexArea,0.018899665749130195,0.006486236766118965,0.012202600199409228,0.03175456921631287,9.3,3.591656999213594,2,13,10,11
mlp,MLP,scaled,kernel,Eccentricity,0.015345153120606941,0.00230973464093143,0.013181393217812068,0.019417695449209803,11.5,1.5811388300841898,10,14,10,12
mlp,MLP,scaled,kernel,Compactness,0.014160066442860284,0.0025529283983796026,0.011274290340949534,0.019418621046083447,12.7,1.3374935098492586,10,14,10,13
mlp,MLP,scaled,kernel,ShapeFactor3,0.012624752192341257,0.002652324072887754,0.00927630914145931,0.01812691825182733,13.3,2.1628170930011112,8,15,10,14
mlp,MLP,scaled,kernel,Solidity,0.010775217077962512,0.0009390477264460935,0.009717954712585478,0.012223991164939994,14.4,0.9660917830792958,12,15,10,15
mlp,MLP,scaled,kernel,Extent,0.006220133857910046,0.0009204820426013297,0.004411593407124548,0.007708380021298612,16.0,0.0,16,16,10,16
random_forest,Random Forest,unscaled,tree,Perimeter,0.035851449802302204,0.0021934347303572675,0.0313864179959064,0.03809838962734396,1.0,0.0,1,1,10,1
random_forest,Random Forest,unscaled,tree,ShapeFactor1,0.026117476468187,0.0011998048672298334,0.02381847010914046,0.02789717408217246,3.0,0.9428090415820634,2,4,10,2
random_forest,Random Forest,unscaled,tree,MajorAxisLength,0.02601991173331706,0.002037373151653913,0.02280592976451811,0.028789454268232737,3.2,1.1352924243950933,2,5,10,3
random_forest,Random Forest,unscaled,tree,ConvexArea,0.02469992549217908,0.0017986934871142518,0.021804610689055277,0.027561900695503034,3.7,1.1595018087284057,2,5,10,4
random_forest,Random Forest,unscaled,tree,MinorAxisLength,0.023716090249995082,0.0015981024166721205,0.02194403799747435,0.026594963004462534,4.1,1.1005049346146119,2,5,10,5
random_forest,Random Forest,unscaled,tree,roundness,0.019152895295088738,0.0003940966038060805,0.018745605823257655,0.019943769568823284,7.1,0.875595035770913,6,9,10,6
random_forest,Random Forest,unscaled,tree,ShapeFactor3,0.0190699815735754,0.0008933648732704779,0.017566328614131686,0.020151453387741377,7.7,1.3374935098492586,6,9,10,7
random_forest,Random Forest,unscaled,tree,Compactness,0.01837525267496183,0.0009019767111115367,0.0169702798947129,0.01973209167867275,8.1,0.9944289260117533,6,10,10,8
random_forest,Random Forest,unscaled,tree,EquivDiameter,0.01797532304538068,0.00181465397163842,0.015252972501441133,0.02036554267383677,8.2,1.7511900715418258,6,10,10,9
random_forest,Random Forest,unscaled,tree,Area,0.017429875079397812,0.0017473256227614417,0.014867248061878158,0.021000523566948908,8.9,1.595131481867387,6,10,10,10
random_forest,Random Forest,unscaled,tree,ShapeFactor4,0.013971584962518126,0.00031262170504985006,0.013506715594143058,0.014546794427717174,11.0,0.0,11,11,10,11
random_forest,Random Forest,unscaled,tree,Eccentricity,0.0104238505018584,0.0007575474017841222,0.00950534285592793,0.011417895406280425,12.7,0.6749485577105531,12,14,10,12
random_forest,Random Forest,unscaled,tree,AspectRation,0.010146494502871372,0.0007952989922511654,0.00919644638806848,0.011418518922903876,13.1,0.875595035770913,12,14,10,13
random_forest,Random Forest,unscaled,tree,ShapeFactor2,0.009696093473933003,0.0008579389589967813,0.008082569905987524,0.011086841903252563,13.2,0.9189365834726815,12,14,10,14
random_forest,Random Forest,unscaled,tree,Solidity,0.006735779954454293,0.00024571271798482733,0.006278548308436022,0.007196014377344822,15.0,0.0,15,15,10,15
random_forest,Random Forest,unscaled,tree,Extent,0.002952335620825172,0.00013551459911185007,0.0027555940432642395,0.0031274397771878406,16.0,0.0,16,16,10,16
