seed,model_name,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted
1,decision_tree,0.8970099667774086,0.9106487946952683,0.9124254549327312,0.9114338931633511,0.8968813724649659
2,decision_tree,0.8955334071613141,0.9106993263812985,0.9113086692991166,0.9108634513461017,0.8952446869555465
3,decision_tree,0.8947951273532669,0.9103675655273264,0.9115776745176455,0.9109236439338692,0.8946770391510879
4,decision_tree,0.8970099667774086,0.9119999067659206,0.9130835536931176,0.9124037492748209,0.8965591791579439
5,decision_tree,0.896640826873385,0.9115476076848779,0.9123056259797083,0.9118262435638227,0.8964957649709032
6,decision_tree,0.8955334071613141,0.9104309546043693,0.9111486658176677,0.9106823066975337,0.8952758101672331
7,decision_tree,0.8951642672572905,0.9095468227524192,0.9113071774196667,0.9103499174573253,0.8950558833785388
8,decision_tree,0.8984865263935031,0.9133045887228646,0.9141837500514993,0.9136630302248632,0.8982893329535907
9,decision_tree,0.8999630860095976,0.9136021955198459,0.9142814960746559,0.913839282694145,0.8997075363855253
10,decision_tree,0.8947951273532669,0.9113332418923524,0.9116743519319933,0.9113878776566225,0.8946211390352369
1,logistic_regression,0.9191583610188261,0.9307249956317589,0.9300490838251013,0.9302365421734592,0.9192902192227252
2,logistic_regression,0.9191583610188261,0.9307249956317589,0.9300490838251013,0.9302365421734592,0.9192902192227252
3,logistic_regression,0.9191583610188261,0.9307249956317589,0.9300490838251013,0.9302365421734592,0.9192902192227252
4,logistic_regression,0.9191583610188261,0.9307249956317589,0.9300490838251013,0.9302365421734592,0.9192902192227252
5,logistic_regression,0.9191583610188261,0.9307249956317589,0.9300490838251013,0.9302365421734592,0.9192902192227252
6,logistic_regression,0.9191583610188261,0.9307249956317589,0.9300490838251013,0.9302365421734592,0.9192902192227252
7,logistic_regression,0.9191583610188261,0.9307249956317589,0.9300490838251013,0.9302365421734592,0.9192902192227252
8,logistic_regression,0.9191583610188261,0.9307249956317589,0.9300490838251013,0.9302365421734592,0.9192902192227252
9,logistic_regression,0.9191583610188261,0.9307249956317589,0.9300490838251013,0.9302365421734592,0.9192902192227252
10,logistic_regression,0.9191583610188261,0.9307249956317589,0.9300490838251013,0.9302365421734592,0.9192902192227252
1,mlp,0.926172019195275,0.93642307400336,0.9360285775444186,0.9360893009956311,0.9263273668794827
2,mlp,0.9243263196751569,0.9347817955738228,0.9354605463070664,0.9350202532146937,0.9244110099203555
3,mlp,0.9254337393872277,0.9361905857841563,0.9337440474062493,0.9347415948957025,0.925462687015552
4,mlp,0.9276485788113695,0.9380241764039383,0.9378963246258747,0.9379395620612279,0.9275805431760147
5,mlp,0.9258028792912514,0.9369576514938156,0.9352646456022582,0.9360714793736672,0.9257462641008039
6,mlp,0.9213732004429679,0.9342712917208289,0.9310076890930734,0.9322898431014133,0.9209106155464967
7,mlp,0.9269102990033222,0.9360593311468695,0.9363088668503025,0.9361563556577864,0.9269733107357453
8,mlp,0.9165743816906607,0.9292582621865015,0.9290512709927692,0.9289429069914888,0.9168551577410529
9,mlp,0.923218899963086,0.9345046774584694,0.9321826132974608,0.93322445265675,0.9233745628061372
10,mlp,0.9246954595791805,0.9350902026015072,0.9334652143509483,0.9341264391769036,0.9245339601729067
1,random_forest,0.917312661498708,0.9302475412327977,0.9281417935573251,0.9290911325812158,0.9172210356920931
2,random_forest,0.9191583610188261,0.9314193329597117,0.9289139816549472,0.9300402823121268,0.9190457073665593
3,random_forest,0.9198966408268734,0.9317242563535997,0.9297180022647782,0.930640121071891,0.9197744407223903
4,random_forest,0.9162052417866371,0.9289195121007003,0.9272758315134129,0.9279735530673255,0.9160490388762426
5,random_forest,0.9187892211148025,0.9315618081561831,0.929892404116455,0.930639966621266,0.9186894087458233
6,random_forest,0.9180509413067552,0.9315357126026068,0.9294365989824155,0.9303819899121943,0.9179561637037688
7,random_forest,0.917312661498708,0.9305165284349799,0.9286068587393245,0.9295095277721834,0.9172336746549086
8,random_forest,0.9191583610188261,0.9315770113105964,0.9294821561197296,0.930428222268987,0.9190171304215445
9,random_forest,0.9184200812107789,0.9312228878109415,0.9288919553783648,0.929942842543203,0.918292838105538
10,random_forest,0.9191583610188261,0.9323585816914756,0.9306461809120189,0.9314203714242116,0.9190648452373501
