model_name,class_name,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,support_mean
decision_tree,BARBUNYA,0.8917745117487532,0.006966317108696952,0.8981132075471698,0.005336654952351301,0.8949104451308887,0.004093805036819996,265.0
decision_tree,BOMBAY,1.0,0.0,1.0,0.0,1.0,0.0,104.0
decision_tree,CALI,0.9024570598165699,0.004499870241516281,0.9193251533742333,0.0038394648988790375,0.9108054522878707,0.003147615407049544,326.0
decision_tree,DERMASON,0.8884389299807166,0.004941564685560594,0.8961918194640338,0.004849571023310846,0.8922907968935607,0.004041380889350693,709.0
decision_tree,HOROZ,0.9520854099119751,0.005489465972122006,0.928763440860215,0.003639802152614667,0.9402676239511125,0.002949095036961083,372.0
decision_tree,SEKER,0.9089618490669743,0.004514803332737491,0.9342364532019705,0.0030829200912181618,0.9214168475977893,0.0024420639220263975,406.0
decision_tree,SIRA,0.8357189426575914,0.00557058240260091,0.8096774193548388,0.006696855626852106,0.8224702113474963,0.004296639184578171,527.0
logistic_regression,BARBUNYA,0.9254901960784314,0.0,0.8905660377358491,0.0,0.9076923076923077,0.0,265.0
logistic_regression,BOMBAY,1.0,0.0,1.0,0.0,1.0,0.0,104.0
logistic_regression,CALI,0.9109792284866469,0.0,0.9417177914110428,0.0,0.9260935143288085,0.0,326.0
logistic_regression,DERMASON,0.9265129682997119,0.0,0.9069111424541608,0.0,0.916607270135424,0.0,709.0
logistic_regression,HOROZ,0.9642857142857142,0.0,0.9435483870967742,0.0,0.9538043478260869,0.0,372.0
logistic_regression,SEKER,0.9296116504854369,0.0,0.9433497536945813,0.0,0.9364303178484107,0.0,406.0
logistic_regression,SIRA,0.858195211786372,0.0,0.8842504743833018,0.0,0.8710280373831776,0.0,527.0
mlp,BARBUNYA,0.9230713594017844,0.00912650835160163,0.8992452830188679,0.010827843631022543,0.9109223697617473,0.0044657056634554914,265.0
mlp,BOMBAY,1.0,0.0,0.9961538461538462,0.004965363264368465,0.9980676328502416,0.0024946752632576097,104.0
mlp,CALI,0.9237643022707323,0.008970206910036074,0.9423312883435584,0.007624274798489674,0.9328946863390083,0.002610884427269862,326.0
mlp,DERMASON,0.9241297896630595,0.012657141651012045,0.9187588152327221,0.013251105993382473,0.9212900646303812,0.004508954309997057,709.0
mlp,HOROZ,0.9617750866862007,0.005223346630962336,0.9529569892473118,0.003168041134348347,0.9573358750101694,0.0028538397315414155,372.0
mlp,SEKER,0.940597674172593,0.00469657667079657,0.951231527093596,0.006649739484833067,0.9458680974576833,0.0039336373439441755,406.0
mlp,SIRA,0.872754521666919,0.01815404747860503,0.8776091081593927,0.02082969487675539,0.8748428056384542,0.008275140315593187,527.0
random_forest,BARBUNYA,0.9232924280353887,0.003971943445727405,0.8947169811320755,0.005468444055165825,0.9087734145646833,0.0040531505817107604,265.0
random_forest,BOMBAY,1.0,0.0,1.0,0.0,1.0,0.0,104.0
random_forest,CALI,0.921491465744095,0.0038904045027161435,0.9358895705521473,0.003375782008020298,0.9286268179977588,0.0022703769467166644,326.0
random_forest,DERMASON,0.9083833256629529,0.0020870754985721734,0.9215796897038082,0.0035928487399234364,0.9149317982806797,0.002525623366647356,709.0
random_forest,HOROZ,0.9642612257029188,0.002153446046928599,0.942741935483871,0.0018143778433078988,0.9533779826978636,0.0012768418523717115,372.0
random_forest,SEKER,0.9329728854940674,0.0028674643937682,0.9564039408866994,0.0016624348712082648,0.9445404732251012,0.001682622581364112,406.0
random_forest,SIRA,0.8673568902180921,0.0034037616864107897,0.8523719165085388,0.001959763869048671,0.8597971199361363,0.002388652001930747,527.0
