model_name,class_id,class_name,precision,recall,f1_score,support
logistic_regression,0,BARBUNYA,0.9254901960784314,0.8905660377358491,0.9076923076923077,265.0
logistic_regression,1,BOMBAY,1.0,1.0,1.0,104.0
logistic_regression,2,CALI,0.9109792284866469,0.941717791411043,0.9260935143288085,326.0
logistic_regression,3,DERMASON,0.9265129682997119,0.9069111424541608,0.9166072701354241,709.0
logistic_regression,4,HOROZ,0.9642857142857143,0.9435483870967742,0.9538043478260869,372.0
logistic_regression,5,SEKER,0.9296116504854369,0.9433497536945813,0.9364303178484108,406.0
logistic_regression,6,SIRA,0.858195211786372,0.8842504743833017,0.8710280373831776,527.0
decision_tree,0,BARBUNYA,0.8810408921933085,0.8943396226415095,0.8876404494382022,265.0
decision_tree,1,BOMBAY,1.0,1.0,1.0,104.0
decision_tree,2,CALI,0.8945783132530121,0.911042944785276,0.9027355623100304,326.0
decision_tree,3,DERMASON,0.8887343532684284,0.9012693935119888,0.8949579831932774,709.0
decision_tree,4,HOROZ,0.9527777777777777,0.9220430107526881,0.9371584699453552,372.0
decision_tree,5,SEKER,0.9069212410501193,0.9359605911330049,0.9212121212121213,406.0
decision_tree,6,SIRA,0.841897233201581,0.8083491461100569,0.8247821878025169,527.0
random_forest,0,BARBUNYA,0.9182879377431906,0.8905660377358491,0.9042145593869731,265.0
random_forest,1,BOMBAY,1.0,1.0,1.0,104.0
random_forest,2,CALI,0.918429003021148,0.9325153374233128,0.9254185692541856,326.0
random_forest,3,DERMASON,0.9111111111111111,0.92524682651622,0.9181245626312107,709.0
random_forest,4,HOROZ,0.9641873278236914,0.9408602150537635,0.9523809523809523,372.0
random_forest,5,SEKER,0.941747572815534,0.9556650246305419,0.9486552567237164,406.0
random_forest,6,SIRA,0.8659003831417624,0.857685009487666,0.8617731172545281,527.0
mlp,0,BARBUNYA,0.9260700389105059,0.8981132075471698,0.9118773946360154,265.0
mlp,1,BOMBAY,1.0,1.0,1.0,104.0
mlp,2,CALI,0.9191616766467066,0.941717791411043,0.9303030303030303,326.0
mlp,3,DERMASON,0.9225352112676056,0.923836389280677,0.923185341789993,709.0
mlp,4,HOROZ,0.9669421487603306,0.9435483870967742,0.9551020408163265,372.0
mlp,5,SEKER,0.9396135265700483,0.958128078817734,0.948780487804878,406.0
mlp,6,SIRA,0.8766603415559773,0.8766603415559773,0.8766603415559773,527.0
