model_name,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted
mlp,0.9250645994832042,0.9358547062444534,0.9345720279584822,0.9351298052723173,0.9250526179471725
logistic_regression,0.9191583610188261,0.9307249956317589,0.9300490838251013,0.9302365421734592,0.9192902192227252
random_forest,0.9191583610188261,0.9313804765223482,0.9289340644067646,0.9300810025187952,0.9191021808891179
decision_tree,0.8955334071613141,0.9094214015348896,0.9104292441335036,0.9097838248430719,0.8952886701742143
