seed,model_name,class_name,precision,recall,f1_score,support
1,decision_tree,BARBUNYA,0.8786764705882353,0.9018867924528302,0.8901303538175046,265.0
1,decision_tree,BOMBAY,1.0,1.0,1.0,104.0
1,decision_tree,CALI,0.8975903614457831,0.9141104294478528,0.9057750759878419,326.0
1,decision_tree,DERMASON,0.8932584269662921,0.8970380818053597,0.8951442646023927,709.0
1,decision_tree,HOROZ,0.9527777777777777,0.9220430107526881,0.9371584699453552,372.0
1,decision_tree,SEKER,0.9156626506024096,0.9359605911330049,0.925700365408039,406.0
1,decision_tree,SIRA,0.8365758754863813,0.8159392789373814,0.8261287223823247,527.0
1,logistic_regression,BARBUNYA,0.9254901960784314,0.8905660377358491,0.9076923076923077,265.0
1,logistic_regression,BOMBAY,1.0,1.0,1.0,104.0
1,logistic_regression,CALI,0.9109792284866469,0.941717791411043,0.9260935143288085,326.0
1,logistic_regression,DERMASON,0.9265129682997119,0.9069111424541608,0.9166072701354241,709.0
1,logistic_regression,HOROZ,0.9642857142857143,0.9435483870967742,0.9538043478260869,372.0
1,logistic_regression,SEKER,0.9296116504854369,0.9433497536945813,0.9364303178484108,406.0
1,logistic_regression,SIRA,0.858195211786372,0.8842504743833017,0.8710280373831776,527.0
1,mlp,BARBUNYA,0.9260700389105059,0.8981132075471698,0.9118773946360154,265.0
1,mlp,BOMBAY,1.0,1.0,1.0,104.0
1,mlp,CALI,0.9169139465875371,0.9478527607361963,0.9321266968325792,326.0
1,mlp,DERMASON,0.935064935064935,0.9139633286318759,0.9243937232524965,709.0
1,mlp,HOROZ,0.9671232876712329,0.9489247311827957,0.9579375848032564,372.0
1,mlp,SEKER,0.9434889434889435,0.9458128078817734,0.9446494464944649,406.0
1,mlp,SIRA,0.8663003663003663,0.8975332068311196,0.8816402609506058,527.0
1,random_forest,BARBUNYA,0.9221789883268483,0.8943396226415095,0.9080459770114943,265.0
1,random_forest,BOMBAY,1.0,1.0,1.0,104.0
1,random_forest,CALI,0.9186746987951807,0.9355828220858896,0.9270516717325228,326.0
1,random_forest,DERMASON,0.9069444444444444,0.921015514809591,0.913925822253324,709.0
1,random_forest,HOROZ,0.9668508287292817,0.9408602150537635,0.9536784741144414,372.0
1,random_forest,SEKER,0.9302884615384616,0.9532019704433498,0.9416058394160584,406.0
1,random_forest,SIRA,0.8667953667953668,0.8519924098671727,0.8593301435406698,527.0
2,decision_tree,BARBUNYA,0.8969465648854962,0.8867924528301887,0.8918406072106262,265.0
2,decision_tree,BOMBAY,1.0,1.0,1.0,104.0
2,decision_tree,CALI,0.8961424332344213,0.9263803680981595,0.9110105580693816,326.0
2,decision_tree,DERMASON,0.8870292887029289,0.8970380818053597,0.8920056100981767,709.0
2,decision_tree,HOROZ,0.9559228650137741,0.9327956989247311,0.9442176870748299,372.0
2,decision_tree,SEKER,0.9045346062052506,0.9334975369458128,0.9187878787878788,406.0
2,decision_tree,SIRA,0.834319526627219,0.8026565464895635,0.8181818181818182,527.0
2,logistic_regression,BARBUNYA,0.9254901960784314,0.8905660377358491,0.9076923076923077,265.0
2,logistic_regression,BOMBAY,1.0,1.0,1.0,104.0
2,logistic_regression,CALI,0.9109792284866469,0.941717791411043,0.9260935143288085,326.0
