model_name,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,precision_macro_mean,precision_macro_std,precision_macro_min,precision_macro_max,recall_macro_mean,recall_macro_std,recall_macro_min,recall_macro_max,f1_macro_mean,f1_macro_std,f1_macro_min,f1_macro_max,f1_weighted_mean,f1_weighted_std,f1_weighted_min,f1_weighted_max
mlp,0.9242155777039498,0.003241759277755397,0.9165743816906607,0.9276485788113695,0.935156104837327,0.002382781630186068,0.9292582621865015,0.9380241764039383,0.9340409796070421,0.002696526871258459,0.9290512709927692,0.9378963246258747,0.9344602188125265,0.002525764511808334,0.9289429069914888,0.9379395620612279,0.9242175478094546,0.003218547039179253,0.9168551577410529,0.9275805431760147
logistic_regression,0.9191583610188261,0.0,0.9191583610188261,0.9191583610188261,0.9307249956317589,0.0,0.9307249956317589,0.9307249956317589,0.9300490838251013,0.0,0.9300490838251013,0.9300490838251013,0.9302365421734592,0.0,0.9302365421734592,0.9302365421734592,0.9192902192227252,0.0,0.9192902192227252,0.9192902192227252
random_forest,0.9183462532299741,0.0011250527329309693,0.9162052417866371,0.9198966408268734,0.9311083172653593,0.0009742468079334451,0.9289195121007003,0.9323585816914756,0.9291005763238772,0.0009560723645069292,0.9272758315134129,0.9306461809120189,0.9300068009574604,0.000962841577014614,0.9279735530673255,0.9314203714242116,0.9182344283526218,0.0011266605696204544,0.9160490388762426,0.9197744407223903
decision_tree,0.8964931709117756,0.0016978652206876006,0.8947951273532669,0.8999630860095976,0.9113481004546543,0.0013051525770363358,0.9095468227524192,0.9136021955198459,0.9123296419717801,0.0011691865504929611,0.9111486658176677,0.9142814960746559,0.9117373396012456,0.0012136480479036922,0.9103499174573253,0.913839282694145,0.8962807744620573,0.0016723768171821338,0.8946211390352369,0.8997075363855253
