analysis,mean_top_k_overlap,std_top_k_overlap,mean_jaccard_similarity,mean_rank_correlation,mean_abs_cosine_similarity,n_comparisons
SHAP vs LIME method agreement,0.58375,0.2287,0.4492063492063492,0.0488277401477832,0.6123424900549027,160
Cross-model stability,0.4608333333333334,0.2119,0.3251405423280423,-0.2877959863412449,0.4436383438268489,480
Within-group stability,0.5980916030534352,0.2327,0.4676935659760087,0.0739913506801174,0.6269144190772747,1048
Nearest-neighbor stability,0.6293749999999999,0.2284,0.5015625,0.1297135300044782,0.6596148751643173,320
