comparison_type,method,model_name,display_name,sample_id,nearest_sample_id,selection_group,nearest_selection_group,true_class_name,nearest_true_class_name,feature_distance,same_selection_group,same_true_class,top_k_overlap,jaccard_similarity,rank_correlation,signed_cosine_similarity,abs_cosine_similarity
nearest_neighbor_explanation_stability,SHAP,mlp,MLP,2591,2883,barbunya_predicted_as_cali,barbunya_predicted_as_cali,BARBUNYA,BARBUNYA,2.99170488142563,True,True,0.6,0.42857142857142855,-0.5272727272727272,0.3602550012722357,0.3602550012722357
nearest_neighbor_explanation_stability,LIME,logistic_regression,Logistic Regression,2591,2883,barbunya_predicted_as_cali,barbunya_predicted_as_cali,BARBUNYA,BARBUNYA,2.99170488142563,True,True,0.8,0.6666666666666666,0.942857142857143,0.9398155400867098,0.9398155400867098
nearest_neighbor_explanation_stability,LIME,decision_tree,Decision Tree,2591,2883,barbunya_predicted_as_cali,barbunya_predicted_as_cali,BARBUNYA,BARBUNYA,2.99170488142563,True,True,1.0,1.0,0.9999999999999999,0.9965468131071742,0.9965468131071742
nearest_neighbor_explanation_stability,LIME,random_forest,Random Forest,2591,2883,barbunya_predicted_as_cali,barbunya_predicted_as_cali,BARBUNYA,BARBUNYA,2.99170488142563,True,True,1.0,1.0,0.8999999999999998,0.9971848129677156,0.9971848129677156
nearest_neighbor_explanation_stability,LIME,mlp,MLP,2591,2883,barbunya_predicted_as_cali,barbunya_predicted_as_cali,BARBUNYA,BARBUNYA,2.99170488142563,True,True,0.8,0.6666666666666666,0.6571428571428573,0.881199060604531,0.881199060604531
nearest_neighbor_explanation_stability,SHAP,logistic_regression,Logistic Regression,2790,2573,barbunya_predicted_as_cali,barbunya_predicted_as_cali,BARBUNYA,BARBUNYA,1.0681475402069043,True,True,0.8,0.6666666666666666,0.2,0.9450224535440401,0.9450224535440401
nearest_neighbor_explanation_stability,SHAP,decision_tree,Decision Tree,2790,2573,barbunya_predicted_as_cali,barbunya_predicted_as_cali,BARBUNYA,BARBUNYA,1.0681475402069043,True,True,0.8,0.6666666666666666,-0.08571428571428573,0.349748293175888,0.6573473096474185
nearest_neighbor_explanation_stability,SHAP,random_forest,Random Forest,2790,2573,barbunya_predicted_as_cali,barbunya_predicted_as_cali,BARBUNYA,BARBUNYA,1.0681475402069043,True,True,0.8,0.6666666666666666,0.7142857142857143,0.908425084169964,0.908425084169964
nearest_neighbor_explanation_stability,SHAP,mlp,MLP,2790,2573,barbunya_predicted_as_cali,barbunya_predicted_as_cali,BARBUNYA,BARBUNYA,1.0681475402069043,True,True,0.6,0.42857142857142855,0.4,0.7267990588225554,0.7267990588225554
nearest_neighbor_explanation_stability,LIME,logistic_regression,Logistic Regression,2790,2573,barbunya_predicted_as_cali,barbunya_predicted_as_cali,BARBUNYA,BARBUNYA,1.0681475402069043,True,True,0.6,0.42857142857142855,0.5636363636363636,0.8709788257411424,0.8709788257411424
nearest_neighbor_explanation_stability,LIME,decision_tree,Decision Tree,2790,2573,barbunya_predicted_as_cali,barbunya_predicted_as_cali,BARBUNYA,BARBUNYA,1.0681475402069043,True,True,0.4,0.25,-0.275,0.47533138976293987,0.47533138976293987
nearest_neighbor_explanation_stability,LIME,random_forest,Random Forest,2790,2573,barbunya_predicted_as_cali,barbunya_predicted_as_cali,BARBUNYA,BARBUNYA,1.0681475402069043,True,True,0.8,0.6666666666666666,-0.028571428571428574,0.7822791168907249,0.7822791168907249
nearest_neighbor_explanation_stability,LIME,mlp,MLP,2790,2573,barbunya_predicted_as_cali,barbunya_predicted_as_cali,BARBUNYA,BARBUNYA,1.0681475402069043,True,True,0.8,0.6666666666666666,0.8285714285714287,0.8894715380494015,0.8894715380494015
nearest_neighbor_explanation_stability,SHAP,logistic_regression,Logistic Regression,2883,2790,barbunya_predicted_as_cali,barbunya_predicted_as_cali,BARBUNYA,BARBUNYA,1.5309474069610196,True,True,1.0,1.0,0.7,0.9995702841300196,0.9995702841300196
nearest_neighbor_explanation_stability,SHAP,decision_tree,Decision Tree,2883,2790,barbunya_predicted_as_cali,barbunya_predicted_as_cali,BARBUNYA,BARBUNYA,1.5309474069610196,True,True,0.8,0.6666666666666666,-0.08571428571428573,0.34272014079996277,0.6620593765091999
nearest_neighbor_explanation_stability,SHAP,random_forest,Random Forest,2883,2790,barbunya_predicted_as_cali,barbunya_predicted_as_cali,BARBUNYA,BARBUNYA,1.5309474069610196,True,True,0.8,0.6666666666666666,0.5428571428571429,0.909233868855548,0.909233868855548
nearest_neighbor_explanation_stability,SHAP,mlp,MLP,2883,2790,barbunya_predicted_as_cali,barbunya_predicted_as_cali,BARBUNYA,BARBUNYA,1.5309474069610196,True,True,0.8,0.6666666666666666,0.8857142857142858,0.8865431216527642,0.8865431216527642
nearest_neighbor_explanation_stability,LIME,logistic_regression,Logistic Regression,2883,2790,barbunya_predicted_as_cali,barbunya_predicted_as_cali,BARBUNYA,BARBUNYA,1.5309474069610196,True,True,0.8,0.6666666666666666,0.3714285714285715,0.8378769361652765,0.8378769361652765
nearest_neighbor_explanation_stability,LIME,decision_tree,Decision Tree,2883,2790,barbunya_predicted_as_cali,barbunya_predicted_as_cali,BARBUNYA,BARBUNYA,1.5309474069610196,True,True,0.6,0.42857142857142855,0.4727272727272727,0.7483785949880193,0.8553737112360092
nearest_neighbor_explanation_stability,LIME,random_forest,Random Forest,2883,2790,barbunya_predicted_as_cali,barbunya_predicted_as_cali,BARBUNYA,BARBUNYA,1.5309474069610196,True,True,0.8,0.6666666666666666,0.3714285714285715,0.8101092436807404,0.8101092436807404
nearest_neighbor_explanation_stability,LIME,mlp,MLP,2883,2790,barbunya_predicted_as_cali,barbunya_predicted_as_cali,BARBUNYA,BARBUNYA,1.5309474069610196,True,True,1.0,1.0,0.3,0.9930129027206953,0.9930129027206953
nearest_neighbor_explanation_stability,SHAP,logistic_regression,Logistic Regression,3330,2883,barbunya_predicted_as_cali,barbunya_predicted_as_cali,BARBUNYA,BARBUNYA,2.3171245463429186,True,True,1.0,1.0,0.7,0.9837142708545284,0.9837142708545284
nearest_neighbor_explanation_stability,SHAP,decision_tree,Decision Tree,3330,2883,barbunya_predicted_as_cali,barbunya_predicted_as_cali,BARBUNYA,BARBUNYA,2.3171245463429186,True,True,0.6,0.42857142857142855,-0.6727272727272727,0.34749119237692505,0.34749119237692505
nearest_neighbor_explanation_stability,SHAP,random_forest,Random Forest,3330,2883,barbunya_predicted_as_cali,barbunya_predicted_as_cali,BARBUNYA,BARBUNYA,2.3171245463429186,True,True,0.6,0.42857142857142855,0.38181818181818183,0.3118755851537987,0.6443126322527842
