model_name,display_name,mean_top_k_overlap,mean_jaccard_similarity,mean_rank_correlation,mean_signed_cosine_similarity,mean_abs_cosine_similarity,n_comparisons
decision_tree,Decision Tree,0.51,0.3682539682539682,-0.016373152709359604,0.4546270596523104,0.5348612571285696,40
logistic_regression,Logistic Regression,0.6950000000000001,0.5697420634920635,0.2988636363636364,0.7039789680845394,0.7328544313564469,40
mlp,MLP,0.53,0.3931547619047619,-0.10276253918495297,0.5723753040022345,0.5723753040022345,40
random_forest,Random Forest,0.6,0.4656746031746032,0.015583016121809226,0.5980544381150315,0.6092789677323599,40
