method,model_name,display_name,mean_feature_distance,mean_top_k_overlap,mean_jaccard_similarity,mean_rank_correlation,mean_signed_cosine_similarity,mean_abs_cosine_similarity,n_pairs
LIME,decision_tree,Decision Tree,1.324018732784093,0.505,0.3579365079365079,0.11586850649350648,0.5242334231007535,0.6609935100224428,40
LIME,logistic_regression,Logistic Regression,1.324018732784093,0.5900000000000001,0.454563492063492,0.019082792207792215,0.6085073820665114,0.6085073820665114,40
LIME,mlp,MLP,1.324018732784093,0.605,0.4866071428571429,0.12206028884908196,0.5939513113489826,0.6072046111258893,40
LIME,random_forest,Random Forest,1.324018732784093,0.73,0.6124007936507936,0.21208603896103898,0.7258554140588577,0.7458316887037206,40
SHAP,decision_tree,Decision Tree,1.324018732784093,0.595,0.4661706349206349,0.03890422077922075,0.5142578657163116,0.5918644567207048,40
SHAP,logistic_regression,Logistic Regression,1.324018732784093,0.775,0.6887896825396825,0.3714366883116883,0.7085173951897252,0.8008586536220876,40
SHAP,mlp,MLP,1.324018732784093,0.595,0.4436507936507937,0.09929243170622483,0.6186759146512804,0.6360841122006125,40
SHAP,random_forest,Random Forest,1.324018732784093,0.64,0.5023809523809524,0.058977272727272746,0.5817410492350679,0.6255745868525691,40
