comparison_type,method,model_a,model_b,model_pair,sample_id,row_index,selection_group,true_label,true_class_name,top_k_overlap,jaccard_similarity,rank_correlation,signed_cosine_similarity,abs_cosine_similarity
cross_model_same_method,SHAP,random_forest,mlp,Random Forest vs MLP,2883,553,barbunya_predicted_as_cali,0,BARBUNYA,0.2,0.1111111111111111,-0.2545454545454546,0.4062977580971582,0.4062977580971582
cross_model_same_method,SHAP,logistic_regression,decision_tree,Logistic Regression vs Decision Tree,3330,895,barbunya_predicted_as_cali,0,BARBUNYA,0.4,0.25,-0.5,0.34988201301008814,0.34988201301008814
cross_model_same_method,SHAP,logistic_regression,random_forest,Logistic Regression vs Random Forest,3330,895,barbunya_predicted_as_cali,0,BARBUNYA,0.4,0.25,-0.55,0.24463642440873581,0.24463642440873581
cross_model_same_method,SHAP,logistic_regression,mlp,Logistic Regression vs MLP,3330,895,barbunya_predicted_as_cali,0,BARBUNYA,0.4,0.25,-0.30000000000000004,0.3378332049389557,0.43125200400288616
cross_model_same_method,SHAP,decision_tree,random_forest,Decision Tree vs Random Forest,3330,895,barbunya_predicted_as_cali,0,BARBUNYA,0.6,0.42857142857142855,0.07272727272727272,0.7660984345842458,0.7660984345842458
cross_model_same_method,SHAP,decision_tree,mlp,Decision Tree vs MLP,3330,895,barbunya_predicted_as_cali,0,BARBUNYA,0.4,0.25,0.025,0.6660122588877165,0.6660122588877165
cross_model_same_method,SHAP,random_forest,mlp,Random Forest vs MLP,3330,895,barbunya_predicted_as_cali,0,BARBUNYA,0.6,0.42857142857142855,0.3090909090909091,0.6951383670559148,0.7980330888699547
cross_model_same_method,SHAP,logistic_regression,decision_tree,Logistic Regression vs Decision Tree,3450,1567,correct_bombay,1,BOMBAY,0.6,0.42857142857142855,-0.9818181818181818,0.13999912806590026,0.13999912806590026
cross_model_same_method,SHAP,logistic_regression,random_forest,Logistic Regression vs Random Forest,3450,1567,correct_bombay,1,BOMBAY,0.8,0.6666666666666666,-0.2571428571428572,0.8214737712175373,0.8214737712175373
cross_model_same_method,SHAP,logistic_regression,mlp,Logistic Regression vs MLP,3450,1567,correct_bombay,1,BOMBAY,0.6,0.42857142857142855,0.2909090909090909,0.751142629623158,0.751142629623158
cross_model_same_method,SHAP,decision_tree,random_forest,Decision Tree vs Random Forest,3450,1567,correct_bombay,1,BOMBAY,0.6,0.42857142857142855,-0.03636363636363636,0.46814818275954373,0.46814818275954373
cross_model_same_method,SHAP,decision_tree,mlp,Decision Tree vs MLP,3450,1567,correct_bombay,1,BOMBAY,0.6,0.42857142857142855,-0.32727272727272727,-0.043583680752257686,0.2896420471055927
cross_model_same_method,SHAP,random_forest,mlp,Random Forest vs MLP,3450,1567,correct_bombay,1,BOMBAY,0.6,0.42857142857142855,0.05454545454545455,0.4679566426454152,0.6529321461638312
cross_model_same_method,SHAP,logistic_regression,decision_tree,Logistic Regression vs Decision Tree,3869,806,correct_bombay,1,BOMBAY,0.6,0.42857142857142855,-0.9818181818181818,0.12922489277398735,0.12922489277398735
cross_model_same_method,SHAP,logistic_regression,random_forest,Logistic Regression vs Random Forest,3869,806,correct_bombay,1,BOMBAY,0.8,0.6666666666666666,0.2,0.8153491039111606,0.8153491039111606
cross_model_same_method,SHAP,logistic_regression,mlp,Logistic Regression vs MLP,3869,806,correct_bombay,1,BOMBAY,0.6,0.42857142857142855,0.38181818181818183,0.8164000595131378,0.8164000595131378
cross_model_same_method,SHAP,decision_tree,random_forest,Decision Tree vs Random Forest,3869,806,correct_bombay,1,BOMBAY,0.6,0.42857142857142855,-0.23636363636363636,0.4563361478268379,0.4563361478268379
cross_model_same_method,SHAP,decision_tree,mlp,Decision Tree vs MLP,3869,806,correct_bombay,1,BOMBAY,0.4,0.25,-0.45,0.14573720699186463,0.14573720699186463
cross_model_same_method,SHAP,random_forest,mlp,Random Forest vs MLP,3869,806,correct_bombay,1,BOMBAY,0.4,0.25,-0.1,0.5677589823559647,0.5677589823559647
cross_model_same_method,SHAP,logistic_regression,decision_tree,Logistic Regression vs Decision Tree,10554,1099,correct_dermason,3,DERMASON,0.8,0.6666666666666666,0.6,0.8371347191101541,0.8371347191101541
cross_model_same_method,SHAP,logistic_regression,random_forest,Logistic Regression vs Random Forest,10554,1099,correct_dermason,3,DERMASON,0.8,0.6666666666666666,-0.4285714285714286,0.7065177605262188,0.7065177605262188
cross_model_same_method,SHAP,logistic_regression,mlp,Logistic Regression vs MLP,10554,1099,correct_dermason,3,DERMASON,0.8,0.6666666666666666,0.2571428571428572,0.795388270304485,0.795388270304485
cross_model_same_method,SHAP,decision_tree,random_forest,Decision Tree vs Random Forest,10554,1099,correct_dermason,3,DERMASON,0.8,0.6666666666666666,-0.3714285714285715,0.42782666053653357,0.42782666053653357
cross_model_same_method,SHAP,decision_tree,mlp,Decision Tree vs MLP,10554,1099,correct_dermason,3,DERMASON,0.8,0.6666666666666666,0.3142857142857143,0.7600847822694088,0.7600847822694088
cross_model_same_method,SHAP,random_forest,mlp,Random Forest vs MLP,10554,1099,correct_dermason,3,DERMASON,0.6,0.42857142857142855,-0.4,0.5463332467355171,0.5463332467355171
cross_model_same_method,SHAP,logistic_regression,decision_tree,Logistic Regression vs Decision Tree,11193,2097,correct_dermason,3,DERMASON,0.8,0.6666666666666666,0.5428571428571429,0.7951657947062523,0.7951657947062523
cross_model_same_method,SHAP,logistic_regression,random_forest,Logistic Regression vs Random Forest,11193,2097,correct_dermason,3,DERMASON,0.8,0.6666666666666666,-0.8285714285714287,0.6154737112500098,0.6154737112500098
cross_model_same_method,SHAP,logistic_regression,mlp,Logistic Regression vs MLP,11193,2097,correct_dermason,3,DERMASON,0.4,0.25,-0.05,0.6430237799688284,0.6430237799688284
cross_model_same_method,SHAP,decision_tree,random_forest,Decision Tree vs Random Forest,11193,2097,correct_dermason,3,DERMASON,0.6,0.42857142857142855,-0.38181818181818183,0.5231453609750166,0.5231453609750166
cross_model_same_method,SHAP,decision_tree,mlp,Decision Tree vs MLP,11193,2097,correct_dermason,3,DERMASON,0.4,0.25,-0.25,0.3550285135865322,0.42295798507406224
cross_model_same_method,SHAP,random_forest,mlp,Random Forest vs MLP,11193,2097,correct_dermason,3,DERMASON,0.2,0.1111111111111111,-0.7363636363636364,0.08310563326483708,0.08310563326483708
cross_model_same_method,SHAP,logistic_regression,decision_tree,Logistic Regression vs Decision Tree,11538,2056,correct_dermason,3,DERMASON,0.8,0.6666666666666666,0.6,0.7511305512836154,0.7511305512836154
cross_model_same_method,SHAP,logistic_regression,random_forest,Logistic Regression vs Random Forest,11538,2056,correct_dermason,3,DERMASON,0.8,0.6666666666666666,-0.6,0.6530918596765248,0.6530918596765248
cross_model_same_method,SHAP,logistic_regression,mlp,Logistic Regression vs MLP,11538,2056,correct_dermason,3,DERMASON,0.4,0.25,-0.25,0.5059490914937776,0.5059490914937776
cross_model_same_method,SHAP,decision_tree,random_forest,Decision Tree vs Random Forest,11538,2056,correct_dermason,3,DERMASON,0.6,0.42857142857142855,-0.18181818181818182,0.5893120619393758,0.5893120619393758
