comparison_type,method,model_name,display_name,selection_group,sample_id_a,sample_id_b,row_index_a,row_index_b,true_class_name_a,true_class_name_b,top_k_overlap,jaccard_similarity,rank_correlation,signed_cosine_similarity,abs_cosine_similarity
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,11193,12383,2097,386,DERMASON,DERMASON,0.8,0.6666666666666666,0.4285714285714286,0.8283140657143052,0.8283140657143052
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,11193,12838,2097,2412,DERMASON,DERMASON,1.0,1.0,0.9999999999999999,0.9956488019655464,0.9956488019655464
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,11538,11678,2056,1622,DERMASON,DERMASON,1.0,1.0,0.8999999999999998,0.9984096258556168,0.9984096258556168
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,11538,12185,2056,322,DERMASON,DERMASON,1.0,1.0,0.3,0.9718546447735628,0.9718546447735628
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,11538,12237,2056,1552,DERMASON,DERMASON,1.0,1.0,0.9999999999999999,0.9978855748164875,0.9978855748164875
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,11538,12383,2056,386,DERMASON,DERMASON,0.8,0.6666666666666666,0.6,0.8522435611324545,0.8522435611324545
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,11538,12838,2056,2412,DERMASON,DERMASON,1.0,1.0,0.8999999999999998,0.9992973674226275,0.9992973674226275
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,11678,12185,1622,322,DERMASON,DERMASON,1.0,1.0,0.6,0.9834216960676595,0.9834216960676595
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,11678,12237,1622,1552,DERMASON,DERMASON,1.0,1.0,0.8999999999999998,0.9926932863497839,0.9926932863497839
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,11678,12383,1622,386,DERMASON,DERMASON,0.8,0.6666666666666666,0.4285714285714286,0.8357421213962034,0.8357421213962034
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,11678,12838,1622,2412,DERMASON,DERMASON,1.0,1.0,0.9999999999999999,0.997390372570018,0.997390372570018
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,12185,12237,322,1552,DERMASON,DERMASON,1.0,1.0,0.3,0.9550941917614357,0.9550941917614357
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,12185,12383,322,386,DERMASON,DERMASON,0.8,0.6666666666666666,-0.14285714285714288,0.7552184020011192,0.7552184020011192
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,12185,12838,322,2412,DERMASON,DERMASON,1.0,1.0,0.6,0.9710974900672537,0.9710974900672537
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,12237,12383,1552,386,DERMASON,DERMASON,0.8,0.6666666666666666,0.6,0.8665661715527904,0.8665661715527904
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,12237,12838,1552,2412,DERMASON,DERMASON,1.0,1.0,0.8999999999999998,0.9978722243405663,0.9978722243405663
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,12383,12838,386,2412,DERMASON,DERMASON,0.8,0.6666666666666666,0.4285714285714286,0.8442088173407524,0.8442088173407524
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_sira,7636,8943,2067,362,SIRA,SIRA,0.6,0.42857142857142855,0.2,0.6594111930493257,0.6594111930493257
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_sira,7636,9111,2067,186,SIRA,SIRA,0.8,0.6666666666666666,0.3714285714285715,0.8241585891051387,0.8241585891051387
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_sira,7636,9316,2067,462,SIRA,SIRA,0.6,0.42857142857142855,0.2,0.6450270990084571,0.6450270990084571
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_sira,7636,9463,2067,1293,SIRA,SIRA,0.6,0.42857142857142855,0.5818181818181818,0.7148849100428204,0.7148849100428204
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_sira,7636,9919,2067,1094,SIRA,SIRA,0.0,0.0,-0.8620689655172413,0.0,0.0
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_sira,7636,9967,2067,1890,SIRA,SIRA,0.4,0.25,-0.5,-0.3136838076277529,0.3136838076277529
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_sira,8943,9111,362,186,SIRA,SIRA,0.8,0.6666666666666666,0.8857142857142858,0.9144988052521306,0.9144988052521306
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_sira,8943,9316,362,462,SIRA,SIRA,1.0,1.0,0.9999999999999999,0.9996315881889062,0.9996315881889062
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_sira,8943,9463,362,1293,SIRA,SIRA,1.0,1.0,0.09999999999999999,0.9448630656850596,0.9448630656850596
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_sira,8943,9919,362,1094,SIRA,SIRA,0.2,0.1111111111111111,-0.37272727272727274,0.352377751267393,0.352377751267393
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_sira,8943,9967,362,1890,SIRA,SIRA,0.2,0.1111111111111111,-0.6727272727272727,-0.1281828311312839,0.1281828311312839
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_sira,9111,9316,186,462,SIRA,SIRA,0.8,0.6666666666666666,0.8857142857142858,0.9096780225804407,0.9096780225804407
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_sira,9111,9463,186,1293,SIRA,SIRA,0.8,0.6666666666666666,0.48571428571428577,0.868036520390644,0.868036520390644
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_sira,9111,9919,186,1094,SIRA,SIRA,0.2,0.1111111111111111,-0.4727272727272727,0.27725242037587583,0.27725242037587583
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_sira,9111,9967,186,1890,SIRA,SIRA,0.2,0.1111111111111111,-0.609090909090909,-0.1463665109565018,0.1463665109565018
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_sira,9316,9463,462,1293,SIRA,SIRA,1.0,1.0,0.09999999999999999,0.9373129987508101,0.9373129987508101
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_sira,9316,9919,462,1094,SIRA,SIRA,0.2,0.1111111111111111,-0.37272727272727274,0.3638585488797756,0.3638585488797756
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_sira,9316,9967,462,1890,SIRA,SIRA,0.2,0.1111111111111111,-0.6727272727272727,-0.1268412484151675,0.1268412484151675
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_sira,9463,9919,1293,1094,SIRA,SIRA,0.2,0.1111111111111111,-0.6727272727272727,0.22119244029694982,0.22119244029694982
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_sira,9463,9967,1293,1890,SIRA,SIRA,0.2,0.1111111111111111,-0.7363636363636364,-0.09929070741286428,0.09929070741286428
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_sira,9919,9967,1094,1890,SIRA,SIRA,0.4,0.25,0.15000000000000002,0.6258780213365056,0.6258780213365056
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,12877,13136,2335,1480,DERMASON,DERMASON,0.6,0.42857142857142855,-0.5454545454545454,0.0612540793545877,0.5983978388618472
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,12877,13322,2335,1696,DERMASON,DERMASON,0.8,0.6666666666666666,0.8285714285714287,0.8885131784713234,0.8885131784713234
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,12877,13372,2335,2326,DERMASON,DERMASON,1.0,1.0,0.19999999999999998,0.99144274443853,0.99144274443853
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,12877,13381,2335,1676,DERMASON,DERMASON,0.6,0.42857142857142855,0.6909090909090909,0.7371596570988368,0.7371596570988368
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,12877,13395,2335,1719,DERMASON,DERMASON,0.6,0.42857142857142855,0.6909090909090909,0.7368570879905264,0.7368570879905264
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,12877,13448,2335,2291,DERMASON,DERMASON,0.6,0.42857142857142855,0.6909090909090909,0.7630280276267093,0.7630280276267093
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,12877,13457,2335,2148,DERMASON,DERMASON,0.6,0.42857142857142855,0.6909090909090909,0.7606679580122887,0.7606679580122887
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,12877,13499,2335,182,DERMASON,DERMASON,0.6,0.42857142857142855,0.6909090909090909,0.7541937093896823,0.7541937093896823
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,12877,13514,2335,54,DERMASON,DERMASON,1.0,1.0,0.9999999999999999,0.9986888311226934,0.9986888311226934
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,13136,13322,1480,1696,DERMASON,DERMASON,0.6,0.42857142857142855,-0.7636363636363637,0.11542128748663838,0.5300461747516255
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,13136,13372,1480,2326,DERMASON,DERMASON,0.6,0.42857142857142855,0.18181818181818182,0.013099229212286484,0.6659480642080474
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,13136,13381,1480,1676,DERMASON,DERMASON,0.4,0.25,-0.8,0.310232407059419,0.310232407059419
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,13136,13395,1480,1719,DERMASON,DERMASON,0.4,0.25,-0.725,0.3343592841026732,0.3343592841026732
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,13136,13448,1480,2291,DERMASON,DERMASON,0.6,0.42857142857142855,-0.8727272727272728,0.44684320444503633,0.44684320444503633
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,13136,13457,1480,2148,DERMASON,DERMASON,0.6,0.42857142857142855,-0.8727272727272728,0.4480707233949951,0.4480707233949951
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,13136,13499,1480,182,DERMASON,DERMASON,0.4,0.25,-0.8,0.3200201785955519,0.3200201785955519
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,13136,13514,1480,54,DERMASON,DERMASON,0.6,0.42857142857142855,-0.5454545454545454,0.07623405303937396,0.6064436865904572
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,13322,13372,1696,2326,DERMASON,DERMASON,0.8,0.6666666666666666,0.14285714285714288,0.8481447289243982,0.8481447289243982
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,13322,13381,1696,1676,DERMASON,DERMASON,0.8,0.6666666666666666,0.8285714285714287,0.8746802322875067,0.8746802322875067
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,13322,13395,1696,1719,DERMASON,DERMASON,0.8,0.6666666666666666,0.942857142857143,0.8930114041988307,0.8930114041988307
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,13322,13448,1696,2291,DERMASON,DERMASON,0.8,0.6666666666666666,0.942857142857143,0.9075535706973825,0.9075535706973825
