analysis,mean_top_k_overlap,std_top_k_overlap,mean_jaccard_similarity,mean_rank_correlation,mean_abs_cosine_similarity,n_comparisons
SHAP vs LIME method agreement,0.58375,0.22872011953862084,0.4492063492063492,0.04882774014778324,0.6123424900549027,160
Cross-model stability,0.4608333333333334,0.2118792870704732,0.3251405423280423,-0.2877959863412449,0.44363834382684897,480
Within-group stability,0.5980916030534352,0.23274489152944552,0.46769356597600875,0.07399135068011747,0.6269144190772747,1048
Nearest-neighbor stability,0.6293749999999999,0.22841881870767985,0.5015625,0.12971353000447827,0.6596148751643173,320
